partner_org_id,org_name_en,org_name_th,org_type,country_id,country_name,continent,field_area,website,status,source_note,created_at,updated_at
PORG-1931F5F899,University of Architecture Ho Chi Minh City (UAH),,มหาวิทยาลัย,CTRY-VN,Vietnam,Asia,"สถาปัตยกรรม, วิเทศสัมพันธ์",,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-C18F33B8FC,Industrial University of Ho Chi Minh City (IUH),,มหาวิทยาลัย,CTRY-VN,Vietnam,Asia,"วิทยาศาสตร์, วิเทศสัมพันธ์",,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-2BC2B8845D,,กรมเอเชียตะวันออก กระทรวงต่างประเทศ,รัฐบาล/องค์กรระหว่างประเทศ,CTRY-TH,Thailand,Asia,การทูต,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-66CFF4B809,,สถานกงสุลใหญ่จีนประจำเชียงใหม่,รัฐบาล/องค์กรระหว่างประเทศ,CTRY-CN,China,Asia,"การทูต, กงสุล",,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-A471ED9D0A,,สถานกงสุลใหญ่ ณ นครเซี่ยงไฮ้,รัฐบาล/องค์กรระหว่างประเทศ,CTRY-CN,China,Asia,"การทูต, กงสุล",,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-F385D1B99C,Brno University of Technology - Faculty of Fine Arts (BUT),,มหาวิทยาลัย,CTRY-CZ,Czech Republic,Europe,"ศิลปะ, การออกแบบ, วิเทศสัมพันธ์",,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-0B09A5012E,Taipei National University of the Arts,,มหาวิทยาลัย,CTRY-TW,Taiwan,Asia,"สถาปัตยกรรม, มรดกวัฒนธรรม",,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-6931A74057,Shanghai Open University (SOU),,มหาวิทยาลัย,CTRY-CN,China,Asia,"การศึกษา, วิเทศสัมพันธ์",,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-6AF711FFF7,Josai University,,มหาวิทยาลัย,CTRY-JP,Japan,Asia,"ศิลปะ, วิจัย",,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-458F5393AD,Czech University of Life Sciences Prague (CZU) - Faculty of Agrobiology,,มหาวิทยาลัย,CTRY-CZ,Czech Republic,Europe,"เกษตร, สัตวศาสตร์",,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-AB2D1E2985,Nanhua University,,มหาวิทยาลัย,CTRY-TW,Taiwan,Asia,"วิเทศสัมพันธ์, จัดงาน",,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-FC6D67521A,National Chung Hsing University (NCHU),,มหาวิทยาลัย,CTRY-TW,Taiwan,Asia,"วิเทศสัมพันธ์, MOU",,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-F99601E88F,National Pingtung University (NPTU),,มหาวิทยาลัย,CTRY-TW,Taiwan,Asia,วิเทศสัมพันธ์,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-143000A502,Campus France Thailand / French Embassy in Thailand,,รัฐบาล/องค์กรระหว่างประเทศ,CTRY-FR,France,Europe,"การศึกษา, ทุน",,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-B4DACA4243,"Global Campuses Foundation, USA",,NGO / มูลนิธิ,CTRY-US,USA,Americas,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-5414369C1B,Agriculture Science and Technology Research Center Andong National University Korea,,มหาวิทยาลัย,CTRY-KR,South Korea,Asia,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-19DEF8486D,Faculty of Dentistry Niigata University,,มหาวิทยาลัย,CTRY-JP,Japan,Asia,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-D3EFC62266,World Federation for Laser Dentistry (WFLD),,NGO / มูลนิธิ,CTRY-AU,Australia,Oceania,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-C7949685D8,"Chitose Institute of Science and Technology, Japan",,มหาวิทยาลัย,CTRY-JP,Japan,Asia,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-B2BDB62280,Iwate University,,มหาวิทยาลัย,CTRY-JP,Japan,Asia,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-CABFBC0484,Luang Prabang Teacher Training College,,มหาวิทยาลัย,CTRY-LA,Laos,Asia,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-864D7DE6E2,"Faculty of Agriculture and Life Science, Hirosaki University",,มหาวิทยาลัย,CTRY-JP,Japan,Asia,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-530D586A08,"Bali Tourism Institute, Indonesia",,มหาวิทยาลัย,CTRY-ID,Indonesia,Asia,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-87C4954854,Chongqing University of Technology,,มหาวิทยาลัย,CTRY-CN,China,Asia,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-A2A75118D8,Bali Tourism Polytechnic,,มหาวิทยาลัย,CTRY-ID,Indonesia,Asia,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-1E47DE4F15,CHANG GUNG UNIVERSITY OF SCIENCE AND TECHNOLOGY (CGUST),,มหาวิทยาลัย,CTRY-TW,Taiwan,Asia,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-1E8A3563C8,Guangxi University of Chinese Medicine,,มหาวิทยาลัย,CTRY-CN,China,Asia,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-EF0148768C,Guangzhou University of Chinese Medicine,,มหาวิทยาลัย,CTRY-CN,China,Asia,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-22D90AE78D,Hainan Normal University,,มหาวิทยาลัย,CTRY-CN,China,Asia,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-B1B99472CF,Chang Gung University,,มหาวิทยาลัย,CTRY-TW,Taiwan,Asia,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-5C679D1345,Kindai University,,มหาวิทยาลัย,CTRY-JP,Japan,Asia,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-3DD6906C01,Hanns Seidel Foundation,,NGO / มูลนิธิ,CTRY-DE,Germany,Europe,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-76CF50A149,Hunan Institute of Engineering,,มหาวิทยาลัย,CTRY-CN,China,Asia,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-E0420CCFBB,Saitama University,,มหาวิทยาลัย,CTRY-JP,Japan,Asia,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-BE181459B2,Tianjin Normal University (China),,มหาวิทยาลัย,CTRY-CN,China,Asia,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-E24AC8C6F9,"Kandatsu Resort Co., Ltd (Japan)",,เอกชน,CTRY-JP,Japan,Asia,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-1CC662D97D,Alliance Française Chiangrai,,NGO / มูลนิธิ,CTRY-FR,France,Europe,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
PORG-A3C5314588,"Tokyu Resort and Stay Co., Ltd",,เอกชน,CTRY-JP,Japan,Asia,,,active,seeded_from_contact_v5,2026-05-23T12:06:05Z,2026-05-23T12:06:05Z
